Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Mastercard inc,MA,"",7284.0,1978000.0,0.716,0.7234,48,37.0,0.510556,addition,0.0007179,Q3 2011,FINANCE,13F,09/30/2019,73.4067
Estee lauder companies inc.,EL,"",9835.0,1957000.0,0.7084,0.6762,49,48.0,0.490447,addition,0.0027262,Q3 2015,CONSUMER STAPLES,13F,09/30/2019,85.0413
Paypal holdings inc,PYPL,"",18824.0,1950000.0,0.7059,0.7973,50,364.0,1.971831,addition,0.0015998,Q4 2017,COMMUNICATIONS,13F,09/30/2019,79.9136
Martin marietta materials inc.,MLM,"",6868.0,1883000.0,0.6817,0.5879,51,98.0,1.447563,addition,0.0109994,Q1 2018,MATERIALS,13F,09/30/2019,206.9026
Ishares trust core s&p small cap index fund,IJR,"",22622.0,1761000.0,0.6375,0.6569,52,388.0,1.745075,addition,No Data,Q2 2017,FINANCE,13F,09/30/2019,73.234
Guidewire software  inc.,GWRE,"",16207.0,1708000.0,0.6183,0.603,53,447.0,2.836294,addition,0.0198105,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,89.4774
Masimo corp,MASI,"",11390.0,1695000.0,0.6136,0.623,54,293.0,2.640353,addition,0.0213536,Q1 2018,HEALTH CARE,13F,09/30/2019,90.8984
Hollyfrontier corp,HFC,"",31508.0,1690000.0,0.6118,0.5305,55,1119.0,3.682253,addition,0.0191445,Q2 2019,ENERGY,13F,09/30/2019,46.5414
Schwab us dividend equity etf,SCHD,"",30796.0,1687000.0,0.6107,0.632,56,-767.0,-2.430061,reduction,No Data,Q2 2014,FINANCE,13F,09/30/2019,46.1669
Spdr s&p 500 etf trust,SPY,"",5612.0,1666000.0,0.6031,0.6203,57,0.0,0.0,,No Data,Q2 2013,FINANCE,13F,09/30/2019,226.0202
Roper technologies inc,ROP,"",4611.0,1644000.0,0.5951,0.617,58,148.0,3.316155,addition,0.0044337,Q4 2016,INDUSTRIALS,13F,09/30/2019,196.2085
Iqvia holdings inc,IQV,"",10424.0,1557000.0,0.5636,0.6086,59,401.0,4.000798,addition,0.0053211,Q1 2016,HEALTH CARE,13F,09/30/2019,69.0834
Ishares core msci emerging markets etf,IEMG,"",31531.0,1546000.0,0.5597,0.5913,60,1074.0,3.526283,addition,No Data,Q1 2019,FINANCE,13F,09/30/2019,51.6145
Boeing company,BA,"",4054.0,1542000.0,0.5582,0.5328,61,174.0,4.484536,addition,0.0007204,Q4 2018,INDUSTRIALS,13F,09/30/2019,324.9881
Shake shack inc,SHAK,"",15548.0,1524000.0,0.5517,0.7369,62,-11508.0,-42.534004,reduction,0.0416948,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,70.3879
Post holdings inc,POST,"",14323.0,1516000.0,0.5488,0.5487,63,335.0,2.39491,addition,0.0196018,Q1 2016,CONSUMER STAPLES,13F,09/30/2019,71.9933
Fedex corporation,FDX,"",10331.0,1504000.0,0.5445,0.4558,64,2975.0,40.443176,addition,0.0039611,Q2 2018,TRANSPORTS,13F,09/30/2019,194.9369
Palo alto networks inc,PANW,"",7260.0,1480000.0,0.5358,0.5396,65,242.0,3.448276,addition,0.0075641,Q2 2016,INFORMATION TECHNOLOGY,13F,09/30/2019,124.8821
Constellation brands  inc.,STZ,"",7067.0,1465000.0,0.5303,0.5105,66,197.0,2.86754,addition,0.0036890,Q3 2017,CONSUMER STAPLES,13F,09/30/2019,200.9672
Polaris inc,PII,"",16547.0,1456000.0,0.5271,0.5343,67,1025.0,6.60353,addition,0.0270730,Q1 2016,CONSUMER DISCRETIONARY,13F,09/30/2019,96.7621
Salesforce.com inc.,CRM,"",9271.0,1376000.0,0.4981,0.5181,68,222.0,2.45331,addition,0.0011947,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,151.6512
Albemarle corp.,ALB,"",19713.0,1370000.0,0.4959,0.4509,69,2747.0,16.191206,addition,0.0185989,Q1 2017,MATERIALS,13F,09/30/2019,98.8504
Interactive brokers group inc,IBKR,"",25458.0,1369000.0,0.4956,0.4943,70,1286.0,5.320205,addition,0.0061283,Q3 2018,FINANCE,13F,09/30/2019,55.159
Bausch health companies,BHC,"",59480.0,1300000.0,0.4706,0.5358,71,3188.0,5.663327,addition,0.0170283,Q3 2018,HEALTH CARE,13F,09/30/2019,20.1489
Biomarin pharmaceutical inc,BMRN,"",18420.0,1242000.0,0.4496,0.5619,72,1036.0,5.959503,addition,0.0102641,Q2 2019,HEALTH CARE,13F,09/30/2019,84.6236
Tradeweb markets inc,TW,"",33066.0,1223000.0,0.4427,0.5234,73,1411.0,4.457432,addition,No Data,Q2 2019,FINANCE,13F,09/30/2019,43.5185
Eog resources inc,EOG,"",14879.0,1104000.0,0.3997,0.4721,74,1448.0,10.781029,addition,0.0025624,Q4 2011,ENERGY,13F,09/30/2019,64.7061
Centene corp,CNC,"",25434.0,1100000.0,0.3982,0.4683,75,1764.0,7.452471,addition,0.0061493,Q3 2017,HEALTH CARE,13F,09/30/2019,71.5026
Pvh corp. (phillips jones - phillips van heusen corp.),PVH,"",11826.0,1043000.0,0.3776,0.3785,76,1228.0,11.587092,addition,0.0157869,Q3 2017,CONSUMER DISCRETIONARY,13F,09/30/2019,121.2405
Invesco qqq trust series 1,QQQ,"",4317.0,815000.0,0.295,0.3041,77,1.0,0.02317,addition,No Data,Q1 2018,FINANCE,13F,09/30/2019,181.4706
Pimco enhanced short maturity etf,MINT,"",7304.0,743000.0,0.269,0.2751,78,140.0,1.954216,addition,No Data,Q1 2018,FINANCE,13F,09/30/2019,101.7496
Vanguard dividend appreciation etf,VIG,"",5924.0,708000.0,0.2563,0.2573,79,0.0,0.0,,No Data,Q2 2018,FINANCE,13F,09/30/2019,104.9745
Vanguard total stock market etf,VTI,"",4085.0,617000.0,0.2234,0.2264,80,85.0,2.125,addition,No Data,Q3 2018,FINANCE,13F,09/30/2019,149.2944
Silicon laboratories inc,SLAB,"",5125.0,571000.0,0.2067,0.2098,81,-250.0,-4.651163,reduction,0.0118251,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,99.6
Bancorpsouth bank,BXS,"",17350.0,514000.0,0.1861,0.1902,82,0.0,0.0,,0.0172380,Q1 2018,FINANCE,13F,09/30/2019,31.8
Wells fargo & co.  (northwest bancorporation),WFC,"",9048.0,456000.0,0.1651,0.1615,83,0.0,0.0,,0.0002054,Q3 2012,FINANCE,13F,09/30/2019,46.7578
Home depot  inc. (the),HD,"",1609.0,373000.0,0.135,0.1264,84,0.0,0.0,,0.0001462,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,207.97
Procter & gamble co. (oh) (1905),PG,"",2795.0,348000.0,0.126,1.1664,85,-25396.0,-90.085488,reduction,0.0001117,Q2 2012,CONSUMER STAPLES,13F,09/30/2019,83.4623
Baidu inc adr,BIDU,"",3255.0,334000.0,0.1209,0.1804,86,-820.0,-20.122699,reduction,0.0009318,Q2 2019,COMMUNICATIONS,13F,09/30/2019,117.36
Shopify inc,SHOP,"",1050.0,327000.0,0.1184,,87,1050.0,,new,0.0009331,Q3 2019,COMMUNICATIONS,13F,09/30/2019,311.66
Ishares core s&p 500 etf,IVV,"",1083.0,323000.0,0.1169,0.1257,88,-48.0,-4.244032,reduction,No Data,Q4 2017,FINANCE,13F,09/30/2019,268.4668
Vanguard ftse developed markets etf,VEA,"",7866.0,323000.0,0.1169,0.123,89,47.0,0.6011,addition,No Data,Q1 2018,FINANCE,13F,09/30/2019,43.2049
Spdr portfolio small cap etf,SPSM,"",10552.0,317000.0,0.1148,0.114,90,683.0,6.920661,addition,No Data,Q1 2019,FINANCE,13F,09/30/2019,30.2151
Spdr port emerging markets etf,SPEM,"",8563.0,294000.0,0.1064,0.1132,91,183.0,2.183771,addition,No Data,Q1 2019,FINANCE,13F,09/30/2019,35.7284
Cisco systems  inc.,CSCO,"",4908.0,243000.0,0.088,0.1015,92,0.0,0.0,,0.0001147,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,54.73
Schwab international equity etf,SCHF,"",7100.0,226000.0,0.0818,0.086,93,0.0,0.0,,No Data,Q2 2017,FINANCE,13F,09/30/2019,33.6421
Ishares msci eafe index fund,EFA,"",3355.0,219000.0,0.0793,0.0834,94,0.0,0.0,,No Data,Q1 2018,FINANCE,13F,09/30/2019,68.4592
